ASSUNTO e PALAVRAS CHAVES;SUBTEMA;NORMAS e DOCUMENTOS;URL;DESCRIÇÃO - ASSUNTO;VIGÊNCIA;DATA INICIO;DATA FIM;NORMA ATUAL;NÍVEL DE ACESSO
Devem ser mantidas as cláusulas contratuais que sejam compatíveis com a legislação em vigor, sendo obrigatória a adaptação das cláusulas dissonantes.;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA Nº 254, DE 5 DE MAIO DE 2011;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTczOA==;"Dispõe sobre a adaptação e migração para os contratos celebrados até 1º de janeiro de 1999 e altera as Resoluções Normativas nº 63, de 22 de dezembro de 2003, que define os limites a serem observados para adoção de variação de preço por faixa etária nos planos privados de assistência à saúde contratados a partir de 1º de janeiro de 2004; e nº 124, de 30 de março de 2006, que dispõe sobre a aplicação de penalidades para as infrações à legislação dos planos privados de assistência à saúde.";04/08/2012 a 31/01/2023 - Revogada pela RN Nº 562/2022;04/08/2012;31/01/2023;RN Nº 562/2022;Público 
Devem ser mantidas as cláusulas contratuais que sejam compatíveis com a legislação em vigor, sendo obrigatória a adaptação das cláusulas dissonantes.;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA Nº 562, DE 15 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMzNA==;"Dispõe sobre a adaptação e migração para os contratos celebrados até 1º de janeiro de 1999.
 ";01/02/2023;01/02/2023;;;Público 
A cláusula de reajuste por mudança de faixa etária do contrato adaptado deve obedecer às regras estabelecidas nesta Resolução.;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA N° 63 DE, 22 DE DEZEMBRO DE 2003;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NzQ4;Define os limites a serem observados para adoção de variação de preço por faixa etária nos planos privados de assistência à saúde contratados a partir de 1º de janeiro de 2004.;01/01/2004 a 31/01/2023 - Revogada pela RN Nº 563/2022;01/01/2004;31/01/2023;RN Nº 563/2022;Público 
A cláusula de reajuste por mudança de faixa etária do contrato adaptado deve obedecer às regras estabelecidas nesta Resolução.;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA Nº 563, DE 15 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMzNQ==;Dispõe sobre os limites a serem observados para adoção de variação de preço por faixa etária nos planos privados de assistência à saúde contratados a partir de 1º de janeiro de 2004.;"01/02/2023

 ";01/02/2023;;;Público 
Devem ser mantidas as cláusulas contratuais que sejam compatíveis com a legislação em vigor, sendo obrigatória a adaptação das cláusulas dissonantes.;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA Nº 254, DE 5 DE MAIO DE 2011;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTczOA==;"Dispõe sobre a adaptação e migração para os contratos celebrados até 1º de janeiro de 1999 e altera as Resoluções Normativas nº 63, de 22 de dezembro de 2003, que define os limites a serem observados para adoção de variação de preço por faixa etária nos planos privados de assistência à saúde contratados a partir de 1º de janeiro de 2004; e nº 124, de 30 de março de 2006, que dispõe sobre a aplicação de penalidades para as infrações à legislação dos planos privados de assistência à saúde.";04/08/2012 a 31/01/2023 - Revogada pela RN Nº 562/2022;04/08/2012;31/01/2023;RN Nº 562/2022;Público 
Devem ser mantidas as cláusulas contratuais que sejam compatíveis com a legislação em vigor, sendo obrigatória a adaptação das cláusulas dissonantes.;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA Nº 562, DE 15 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMzNA==;"Dispõe sobre a adaptação e migração para os contratos celebrados até 1º de janeiro de 1999.
 ";"01/02/2023

 ";01/02/2023;;;Público 
Migração requer a comprovação de vínculo com a pessoa jurídica contratante - Condições de Elegibilidade e Legitimidade.;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA Nº 195, DE 14 DE JULHO DE 2009;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTQ1OA==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde, regulamenta a sua contratação, institui a orientação para contratação de planos privados de assistência à saúde e dá outras providências.;"15/07/2009 a 31/01/2023 - Revogada pela RN Nº 557/2022

 ";15/07/2009;31/01/2023;RN Nº 557/2022;Público 
Migração requer a comprovação de vínculo com a pessoa jurídica contratante - Condições de Elegibilidade e Legitimidade.;Adaptação ou Migração Contratual;RESOLUÇÃO NORMATIVA Nº 557, DE 14 DE DEZEMBRO DE 2022;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=NDMyOQ==;Dispõe sobre a classificação e características dos planos privados de assistência à saúde e regulamenta a sua contratação, dispõe sobre a contratação de plano privado de assistência à saúde coletivo empresarial por empresário individual e dispõe sobre os instrumentos de orientação para contratação de planos privados de assistência à saúde.;"01/02/2023

 ";01/02/2023;;;Público 
"Faixas de preço para fins de portabilidade de carências e migração - Adição de 20,59% sobre o valor da contraprestação pecuniária informado, e de acordo com a idade do beneficiário.

";Adaptação ou Migração Contratual;INSTRUÇÃO NORMATIVA Nº 56, DE 3 DE DEZEMBRO DE 2018;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzY1NQ==https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MzY1NQ==;"Dispõe sobre as faixas de preço para fins de portabilidade de carências e migração, regulamentados, respectivamente, pela Resolução Normativa - RN nº 438, de 3 de dezembro de 2018 e pela RN nº 254, de 5 de maio de 2011; e revoga a Instrução Normativa-IN nº 19, de 3 de abril de 2009, da DIPRO, a IN nº 30, de 28 de abril de 2011, da DIPRO e a IN nº 41, de 5 de dezembro de 2012, da DIPRO.";03/06/2019;03/06/2019;;;Público 
Aproveitamento de Carências ;Contratação/Adesão e Vigência Contratual;SÚMULA NORMATIVA N° 21, DE 12 DE AGOSTO DE 2011;https://www.ans.gov.br/component/legislacao/?view=legislacao&task=textoLei&format=raw&id=MTc5Mg==;Na celebração de plano privado de assistência à saúde individual ou familiar ou no ingresso em plano privado de assistência à saúde coletivo empresarial ou por adesão, a contagem de períodos de carência, quando cabível, deve considerar os períodos de carência porventura já cumpridos, total ou parcialmente, pelo beneficiário em outro plano privado de assistência à saúde da mesma operadora, qualquer que tenha sido o tipo de sua contratação, para coberturas idênticas, desde que não tenha havido solução de continuidade entre os planos, sob pena de restar caracterizada recontagem de carência, vedada pelo inciso I do parágrafo único do art. 13 da Lei nº 9.656, de 3 de junho de 1998.;12/08/2011;12/08/2011;;;Público 
